,DHSID,DHSCC,DHSYEAR,DHSCLUST,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,geometry,cluster_shch,total_count_shch,treat_src_yes,residence_urban_shchhh,residence_rural,alive_yes,fever_rec_only treated nets,cluster_hh,total_count_hh,net_use_yes,nets_sum,hh_size_mean,hh_size_sum,cluster,total_count,residence_urban_hhm,net_used_yes,region_mode,net_owned_only treated (itn) nets,net_owned_did not sleep under a net
31,KE201500000032,KE,2015.0,32.0,U,-1.179889,36.725431,9999.0,1852.0,WGS84,POINT (36.725431 -1.179889),32,9,3,9,0,8,2,32,29,2,2,3,88,32,90,90,4,central,4,86
32,KE201500000033,KE,2015.0,33.0,U,-1.164515,36.64103,9999.0,2217.0,WGS84,POINT (36.64103 -1.164515),33,7,4,7,0,7,0,33,24,8,12,2,63,33,65,65,8,central,8,57
33,KE201500000034,KE,2015.0,34.0,U,-1.224665,36.709624,9999.0,1905.0,WGS84,POINT (36.709624 -1.224665),34,15,4,15,0,15,6,34,28,11,18,2,72,34,73,73,21,central,21,52
34,KE201500000035,KE,2015.0,35.0,U,-1.068387,37.104735,9999.0,1481.0,WGS84,POINT (37.104735 -1.068387),35,12,3,12,0,12,7,35,24,18,29,2,61,35,67,67,38,central,38,29
35,KE201500000036,KE,2015.0,36.0,U,-1.212726,36.918759,9999.0,1546.0,WGS84,POINT (36.918759 -1.212726),36,10,5,10,0,10,6,36,27,14,22,2,74,36,74,74,33,central,33,41
36,KE201500000037,KE,2015.0,37.0,U,-4.068721,39.658694,9999.0,23.0,WGS84,POINT (39.658694 -4.068721),37,5,1,5,0,5,1,37,23,13,22,3,77,37,78,78,19,coast,19,46
37,KE201500000038,KE,2015.0,38.0,U,-4.025692,39.679349,9999.0,31.0,WGS84,POINT (39.679349 -4.025692),38,16,5,16,0,16,11,38,25,19,28,2,67,38,67,67,42,coast,42,20
38,KE201500000039,KE,2015.0,39.0,U,-4.036093,39.674162,9999.0,24.0,WGS84,POINT (39.674162 -4.036093),39,3,1,3,0,2,2,39,21,13,16,3,81,39,81,81,14,coast,14,66
39,KE201500000040,KE,2015.0,40.0,U,-4.037488,39.621041,9999.0,53.0,WGS84,POINT (39.621041 -4.037488),40,6,3,6,0,6,6,40,23,22,33,2,52,40,55,55,49,coast,49,6
40,KE201500000041,KE,2015.0,41.0,U,-4.030255,39.596942,9999.0,39.0,WGS84,POINT (39.596942 -4.030255),41,10,4,10,0,10,10,41,26,21,33,3,80,41,82,82,58,coast,58,18
41,KE201500000042,KE,2015.0,42.0,U,-4.096663,39.637394,9999.0,20.0,WGS84,POINT (39.637394 -4.096663),42,12,3,12,0,11,6,42,20,16,32,3,63,42,64,64,45,coast,45,19
42,KE201500000043,KE,2015.0,43.0,R,-4.354395,39.217181,9999.0,141.0,WGS84,POINT (39.217181 -4.354395),43,16,7,0,16,16,14,43,25,21,53,4,116,43,117,0,88,coast,88,29
43,KE201500000044,KE,2015.0,44.0,R,-4.198272,39.606146,9999.0,18.0,WGS84,POINT (39.606146 -4.198272),44,6,4,0,6,5,3,44,18,14,25,3,63,44,63,0,35,coast,35,25
44,KE201500000045,KE,2015.0,45.0,R,-4.281549,39.157439,9999.0,171.0,WGS84,POINT (39.157439 -4.281549),45,19,9,0,19,19,11,45,25,24,46,4,113,45,113,0,78,coast,78,32
45,KE201500000046,KE,2015.0,46.0,R,-4.455536,39.287201,9999.0,64.0,WGS84,POINT (39.287201 -4.455536),46,34,13,0,34,33,16,46,27,22,73,6,186,46,193,0,121,coast,121,68
46,KE201500000047,KE,2015.0,47.0,R,-4.565622,39.149036,9999.0,38.0,WGS84,POINT (39.149036 -4.565622),47,25,14,0,25,23,19,47,25,24,69,5,135,47,135,0,113,coast,113,20
47,KE201500000048,KE,2015.0,48.0,U,-4.255824,39.490214,9999.0,152.0,WGS84,POINT (39.490214 -4.255824),48,21,12,21,0,21,17,48,29,26,71,5,149,48,152,152,124,coast,124,26
48,KE201500000049,KE,2015.0,49.0,U,-4.271944,39.577297,9999.0,23.0,WGS84,POINT (39.577297 -4.271944),49,9,2,9,0,9,5,49,23,19,44,3,80,49,81,81,65,coast,65,16
